id,name,region,level,effect,group,calorie,pair,place,time,grouptime,instrument,tip,gifname,,,,,,,
a30,坐姿左右转动,ventral,S,warmup,12,2,no,home.office.gym.outside,7,84,no,坐直上身，双腿放松，靠腹肌的力量带动躯干，使身体向左或向右转动最大限度，向左或向右转动时呼吸，还原时吸气,a30,,,,,,,
a31,坐姿收腿,ventral,S,strongmuscle,20,1,no,home.gym,1,20,no,腿部，腹部持续发力，屈膝瘦腿时膝盖尽量靠近胸部，腹部带动躯干，双腿要始终悬空,a31,,,,,,,
a32,办公室坐姿收腿,ventral,S,strongmuscle,15,2,no,home.office.gym.outside,1,15,no,保持身体坐直，腿部，腹部持续发力，屈膝瘦腿时膝盖尽量靠近胸部，腹部带动躯干，双腿要始终悬空,a32,,,,,,,
a33,交替摸脚,ventral,S,strongmuscle,6,2,no,home.gym,9,54,yogamat,仰卧在瑜伽垫上，肩部稍微抬离地面，双腿屈曲与肩同宽，双臂伸直离开地面，向身体两侧侧屈，双手交替摸脚，始终保持腹肌紧张，摸脚时呼气，还原时吸气,a33,,,,,,,
a34,交替伸腿,ventral,S,strongmuscle,5,4,no,home.gym,13.5,67.5,yogamat,躺于垫上，手臂伸直举起，与地面呈90°，屈膝抬腿，大腿与地面呈90°，臀下部微微离地，让腰部压紧地面，下放时吸气，还原时呼气,a34,,,,,,,
a35,仰卧交替抬腿,ventral,S,strongmuscle,5,4,no,home.gym,4.5,22.5,yogamat,腰部贴地，臀部抬离地面，双手放于臀部两侧，勾起脚尖，腿下落到约45°即可抬起，双腿膝关节固定，不能出现踢腿动作，均匀呼吸,a35,,,,,,,
a36,平板支撑,ventral,S,strongmuscle,3,4,no,home.office.gym.outside,10,30,yogamat,屈肘，小臂与前脚掌撑地，耳、肩、髋、膝、踝呈一条直线,a36,,,,,,,
a37,附身慢速跨步登山,ventral,S,losefat,5,4,no,home.office.gym.outside,9,45,yogamat,俯撑，双手与肩同宽，挺直背部，收紧核心，一侧脚迈到同侧手的旁边，回到俯撑状态，迈另一侧脚,a37,,,,,,,
a38,跨步Burpee,ventral,S,losefat,10,4,no,home.office.gym.outside,4,40,no,如视频动作所示，动作越连贯越好，按照自己的节奏呼吸,a38,,,,,,,
a39,腹部拉伸,ventral,S,streching,3,10,no,home.gym,10,30,no,俯卧在瑜伽垫上，腿部完全贴紧地面，双手将上半身撑起，用力拉伸腹部，挺胸,a39,,,,,,,
a40,站姿腹部拉伸,ventral,S,streching,3,10,no,home.office.gym.outside,10,30,no,双腿站直，与墙留有适当距离，向后弯腰，双手扶墙，腹部放松，尽量保持均匀的呼吸,a40,,,,,,,
a41,卷腹,ventral,SS,warmup,6,2,no,home.gym,6,36,yogamat,平躺屈膝，双腿分开与肩同宽，双脚踩实，双手扶于两耳旁，用腹肌的力量将肩部和上背部卷离地面，在最高点略作停顿后，缓慢回到起始位置，卷腹时，下背部保持紧贴地面，手肘保持向外打开，用力卷腹时呼气，下落时吸气,a27,,,,,,,
a42,卷腹摸膝,ventral,SS,warmup,6,2,no,home.gym,7,42,yogamat,平躺屈膝，双手扶在大腿上，用腹肌的力量将肩部和上背部卷离地面，在双手触摸到膝盖后，缓慢回到起始位置,a28,,,,,,,
a43,坐姿卷腹,ventral,SS,warmup,12,1,no,home.office.gym.outside,3,36,no,坐直上身，双腿放松，靠腹肌的力量带动躯干，使胸部尽量靠近膝盖，身体下弯时呼吸，直立吸气,a29,,,,,,,
a44,坐姿左右转动,ventral,SS,warmup,12,2,no,home.office.gym.outside,7,84,no,坐直上身，双腿放松，靠腹肌的力量带动躯干，使身体向左或向右转动最大限度，向左或向右转动时呼吸，还原时吸气,a30,,,,,,,
a45,坐姿收腿,ventral,SS,strongmuscle,20,1,no,home.gym,1,20,no,腿部，腹部持续发力，屈膝瘦腿时膝盖尽量靠近胸部，腹部带动躯干，双腿要始终悬空,a31,,,,,,,
a46,办公室坐姿收腿,ventral,SS,strongmuscle,20,2,no,home.office.gym.outside,1,20,no,保持身体坐直，腿部，腹部持续发力，屈膝瘦腿时膝盖尽量靠近胸部，腹部带动躯干，双腿要始终悬空,a32,,,,,,,
a47,仰卧交替抬腿,ventral,SS,strongmuscle,8,4,no,home.gym,4.5,36,yogamat,腰部贴地，臀部抬离地面，双手放于臀部两侧，勾起脚尖，腿下落到约45°即可抬起，双腿膝关节固定，不能出现踢腿动作，均匀呼吸,a35,,,,,,,
a48,V字对抗支撑,ventral,SS,strongmuscle,5,4,no,home.office.gym.outside,4,20,yogamat,绷紧腹部，背部挺直，屈膝抬腿，勾脚尖，双手与膝盖用力对抗，该动作也可以坐在椅子上进行，双手与膝盖互相对抗即可，自然呼吸,a48,,,,,,,
a49,平板支撑,ventral,SS,strongmuscle,6,4,no,home.office.gym.outside,10,60,yogamat,屈肘，小臂与前脚掌撑地，耳、肩、髋、膝、踝呈一条直线,a36,,,,,,,
a50,平板交替摸肩,ventral,SS,strongmuscle,10,4,no,home.office.gym.outside,6,60,yogamat,呈俯卧撑姿势，收紧腰腹，身体不要出现左右晃动，双手交替支撑，非支撑手摸对侧肩,a50,,,,,,,
a51,左侧卷腹,ventral,SS,strongmuscle,6,4,a52,home.gym,5,30,yogamat,侧卧在瑜伽垫上，右手扶地，左手屈肘扶耳；膝盖屈曲，双腿交叉放在瑜伽垫上，左侧腹部收紧，拉近左肘和大腿的距离，至最高点略作停顿，缓慢回到起始状态,a51,,,,,,,
a52,右侧卷腹,ventral,SS,strongmuscle,6,4,a51,home.gym,5,30,yogamat,侧卧在瑜伽垫上，左手扶地，右手屈肘扶耳；膝盖屈曲，双腿交叉放在瑜伽垫上，右侧腹部收紧，拉近左肘和大腿的距离，至最高点略作停顿，缓慢回到起始状态,a52,,,,,,,
a53,附身登山,ventral,SS,losefat,6,5,no,home.office.gym.outside,5,30,yogamat,俯撑在瑜伽垫上，手肘微屈，上身放平，收紧核心，用最快的速度将膝盖靠近胸部,a53,,,,,,,
a54,跨步Burpee,ventral,SS,losefat,10,4,no,home.office.gym.outside,4,40,no,如视频动作所示，动作越连贯越好，按照自己的节奏呼吸,a38,,,,,,,
a55,腹部拉伸,ventral,SS,streching,4,10,no,home.gym,10,40,no,俯卧在瑜伽垫上，腿部完全贴紧地面，双手将上半身撑起，用力拉伸腹部，挺胸,a39,,,,,,,
a56,站姿腹部拉伸,ventral,SS,streching,4,10,no,home.office.gym.outside,10,40,no,双腿站直，与墙留有适当距离，向后弯腰，双手扶墙，腹部放松，尽量保持均匀的呼吸,a40,,,,,,,
a57,慢速深蹲,hip,S,warmup,10,2,no,home.office.gym.outside,4,40,no,双腿站直，手臂自然下垂，深蹲时，手臂向前平举，下蹲时吸气，还原时呼气,a57,,,,,,,
a58,臀桥,hip,S,warmup,5,3,no,home.gym,9,45,yogamat,仰卧在瑜伽垫上，双腿屈曲略宽于肩，脚跟踩地，发力将臀部抬起至大腿与身体呈一条直线，臀部抬起时上背部支撑地面，下落时下背部贴地，但臀部悬空，用力时呼气，还原时吸气,a58,,,,,,,
a59,向前交替箭步蹲,hip,S,strongmuscle,10,2,no,home.office.gym.outside,7.5,75,no,双脚并拢，收紧腹部核心上半身挺直，双腿交替向前迈，下蹲至前侧大腿与身体呈90°角，前侧大腿与小腿呈90°角，膝盖不要着地，下蹲时吸气，站起时呼气,a59,,,,,,,
a60,箱式深蹲,hip,S,strongmuscle,10,4,no,home.office.gym.outside,4,40,no,自然站立，双脚分开与肩同宽，椅子放于身后，臀部缓慢向后推并向下蹲，蹲至臀部触碰椅子边缘，同时手臂前平举；略作停顿后，臀部发力站起还原至起始状态，下蹲时吸气，站起时呼气,a60,,,,,,,
a61,半蹲左右移动,hip,S,strongmuscle,4,3,no,home.office.gym.outside,4,16,no,腰背挺直，双腿微屈，膝盖与脚尖方向一致，重心压低，双手相握，屈肘放于胸前，保持半蹲姿势向右侧横向行走一步再向左走一步，交替往复，均匀呼吸,a61,,,,,,,
a62,弓步后转体,hip,S,strongmuscle,8,2,no,home.office.gym.outside,11.5,92,no,自然站立，双脚依次向前迈出成弓步，同时双手前平举，向后转身时双手跟随身体张开,a62,,,,,,,
a63,侧弓步,hip,S,strongmuscle,10,2,no,home.office.gym.outside,4,40,no,双脚约两倍肩宽，脚尖朝向斜前方，重心放在一侧腿上，同侧手扶膝盖下蹲，腰背挺直，膝盖与脚尖方向一致，臀部发力蹲起，转移重心做另一侧,a63,,,,,,,
a64,缓冲深蹲,hip,S,losefat,10,2,no,home.office.gym.outside,2.5,25,no,跳起呼气，下蹲吸气，下蹲时减慢速度,a64,,,,,,,
a65,坐姿臀部左侧拉伸,hip,S,streching,4,3,no,home.office.gym.outside,5.5,22,no,坐在椅子上，左腿放在左腿膝盖上方，腰背部收紧，上身往前倾，保持住，感受臀部被拉伸，均匀呼吸,a65,,,,,,,
a66,坐姿臀部右侧拉伸,hip,S,streching,4,3,no,home.office.gym.outside,5.5,22,no,坐在椅子上，右腿放在左腿膝盖上方，腰背部收紧，上身往前倾，保持住，感受臀部被拉伸，均匀呼吸,a66,,,,,,,
a67,慢速深蹲,hip,SS,warmup,10,2,no,home.office.gym.outside,4,40,no,双腿站直，手臂自然下垂，深蹲时，手臂向前平举，下蹲时吸气，还原时呼气,a67,,,,,,,
a68,臀桥,hip,SS,warmup,5,3,no,home.gym,9,45,yogamat,仰卧在瑜伽垫上，双腿屈曲略宽于肩，脚跟踩地，发力将臀部抬起至大腿与身体呈一条直线，臀部抬起时上背部支撑地面，下落时下背部贴地，但臀部悬空，用力时呼气，还原时吸气,a58,,,,,,,
a69,向前交替箭步蹲,hip,SS,strongmuscle,10,2,no,home.office.gym.outside,7.5,75,no,双脚并拢，收紧腹部核心上半身挺直，双腿交替向前迈，下蹲至前侧大腿与身体呈90°角，前侧大腿与小腿呈90°角，膝盖不要着地，下蹲时吸气，站起时呼气,a59,,,,,,,
a70,箱式深蹲,hip,SS,strongmuscle,10,4,no,home.office.gym.outside,4,40,no,自然站立，双脚分开与肩同宽，椅子放于身后，臀部缓慢向后推并向下蹲，蹲至臀部触碰椅子边缘，同时手臂前平举；略作停顿后，臀部发力站起还原至起始状态，下蹲时吸气，站起时呼气,a60,,,,,,,
a71,半蹲左右移动,hip,SS,strongmuscle,4,3,no,home.office.gym.outside,4,16,no,腰背挺直，双腿微屈，膝盖与脚尖方向一致，重心压低，双手相握，屈肘放于胸前，保持半蹲姿势向右侧横向行走一步再向左走一步，交替往复，均匀呼吸,a61,,,,,,,
a72,弓步后转体,hip,SS,strongmuscle,8,2,no,home.office.gym.outside,11.5,92,no,自然站立，双脚依次向前迈出成弓步，同时双手前平举，向后转身时双手跟随身体张开,a62,,,,,,,
a73,侧弓步,hip,SS,strongmuscle,10,2,no,home.office.gym.outside,4,40,no,双脚约两倍肩宽，脚尖朝向斜前方，重心放在一侧腿上，同侧手扶膝盖下蹲，腰背挺直，膝盖与脚尖方向一致，臀部发力蹲起，转移重心做另一侧,a63,,,,,,,
a74,缓冲深蹲,hip,SS,losefat,10,2,no,home.office.gym.outside,2.5,25,no,跳起呼气，下蹲吸气，下蹲时减慢速度,a64,,,,,,,
a75,蹲跳,hip,SS,losefat,10,2,no,home.office.gym.outside,2,20,no,跳起呼气，下蹲吸气，下蹲时减慢速度,a65,,,,,,,
a76,坐姿臀部左侧拉伸,hip,SS,streching,4,3,no,home.office.gym.outside,5.5,22,no,坐在椅子上，左腿放在左腿膝盖上方，腰背部收紧，上身往前倾，保持住，感受臀部被拉伸，均匀呼吸,a66,,,,,,,
a77,坐姿臀部右侧拉伸,hip,SS,streching,4,3,no,home.office.gym.outside,5.5,22,no,坐在椅子上，右腿放在左腿膝盖上方，腰背部收紧，上身往前倾，保持住，感受臀部被拉伸，均匀呼吸,a67,,,,,,,
a78,慢速深蹲,hip,SSS,warmup,10,2,no,home.office.gym.outside,4,40,no,双腿站直，手臂自然下垂，深蹲时，手臂向前平举，下蹲时吸气，还原时呼气,a57,,,,,,,
a79,臀桥,hip,SSS,warmup,5,3,no,home.gym,9,45,yogamat,仰卧在瑜伽垫上，双腿屈曲略宽于肩，脚跟踩地，发力将臀部抬起至大腿与身体呈一条直线，臀部抬起时上背部支撑地面，下落时下背部贴地，但臀部悬空，用力时呼气，还原时吸气,a58,,,,,,,
a80,向前交替箭步蹲,hip,SSS,strongmuscle,10,2,no,home.office.gym.outside,7.5,75,no,双脚并拢，收紧腹部核心上半身挺直，双腿交替向前迈，下蹲至前侧大腿与身体呈90°角，前侧大腿与小腿呈90°角，膝盖不要着地，下蹲时吸气，站起时呼气,a59,,,,,,,
a81,箱式深蹲,hip,SSS,strongmuscle,10,4,no,home.office.gym.outside,4,40,no,自然站立，双脚分开与肩同宽，椅子放于身后，臀部缓慢向后推并向下蹲，蹲至臀部触碰椅子边缘，同时手臂前平举；略作停顿后，臀部发力站起还原至起始状态，下蹲时吸气，站起时呼气,a60,,,,,,,
a82,半蹲左右移动,hip,SSS,strongmuscle,4,3,no,home.office.gym.outside,4,16,no,腰背挺直，双腿微屈，膝盖与脚尖方向一致，重心压低，双手相握，屈肘放于胸前，保持半蹲姿势向右侧横向行走一步再向左走一步，交替往复，均匀呼吸,a61,,,,,,,
a83,弓步后转体,hip,SSS,strongmuscle,8,2,no,home.office.gym.outside,11.5,92,no,自然站立，双脚依次向前迈出成弓步，同时双手前平举，向后转身时双手跟随身体张开,a62,,,,,,,
a84,侧弓步,hip,SSS,strongmuscle,10,2,no,home.office.gym.outside,4,40,no,双脚约两倍肩宽，脚尖朝向斜前方，重心放在一侧腿上，同侧手扶膝盖下蹲，腰背挺直，膝盖与脚尖方向一致，臀部发力蹲起，转移重心做另一侧,a63,,,,,,,
a85,缓冲深蹲,hip,SSS,losefat,10,2,no,home.office.gym.outside,2.5,25,no,跳起呼气，下蹲吸气，下蹲时减慢速度,a64,,,,,,,
a86,蹲跳,hip,SSS,losefat,10,2,no,home.office.gym.outside,2,20,no,跳起呼气，下蹲吸气，下蹲时减慢速度,a65,,,,,,,
a87,坐姿臀部左侧拉伸,hip,SSS,streching,4,3,no,home.office.gym.outside,5.5,22,no,坐在椅子上，左腿放在左腿膝盖上方，腰背部收紧，上身往前倾，保持住，感受臀部被拉伸，均匀呼吸,a66,,,,,,,
a88,坐姿臀部右侧拉伸,hip,SSS,streching,4,3,no,home.office.gym.outside,5.5,22,no,坐在椅子上，右腿放在左腿膝盖上方，腰背部收紧，上身往前倾，保持住，感受臀部被拉伸，均匀呼吸,a67,,,,,,,
a89,点头运动,neck,SS,warmup,10,1,no,home.office.gym.outside,6,60,no,挺胸收腹，前后点头，动作要缓慢，动作幅度至颈部略有紧张感,a1,,,,,,,
a90,左右摆头,neck,SS,warmup,10,1,no,home.office.gym.outside,6,60,no,挺胸收腹，左右摆头，动作要缓慢，动作幅度至颈部略有紧张感,a2,,,,,,,
a91,回首望脚跟,neck,SS,warmup,10,1,no,home.office.gym.outside,10,100,no,挺胸收腹，向后回首，看脚后跟，可略微带动背部转动，动作要缓慢，动作幅度至颈部略有紧张感,a3,,,,,,,
a92,颈屈肌激活,neck,SS,warmup,10,1,no,home.office.gym.outside,4,40,no,挺胸收腹，新疆舞式地向前伸头，动作幅度至颈部略有紧张感，动作要缓慢,a4,,,,,,,
a93,耸肩沉肩,neck,SS,strongmuscle,10,1,no,home.office.gym.outside,6,60,no,肩胛骨向上提升到最大幅度，稍有停顿后，向下沉肩，均匀呼吸,a5,,,,,,,
a94,双下巴运动,neck,SS,strongmuscle,10,1,no,home.office.gym.outside,4,40,no,保持头部直立，平行向后缩颈部，出现双下巴，注意不要低头,a6,,,,,,,
a95,前侧颈部对抗,neck,SS,strongmuscle,1,1,no,home.office.gym.outside,15,15,no,保持颈部直立，将双手放置额头，向后轻轻推头，颈部保持不对，与双手形成对抗,a7,,,,,,,
a96,后侧颈部部对抗,neck,SS,strongmuscle,1,1,no,home.office.gym.outside,15,15,no,保持颈部直立，将双手放置头部后方，向前轻轻推头，颈部保持不对，与双手形成对抗,a8,,,,,,,
a97,左侧颈部对抗,neck,SS,strongmuscle,1,1,no,home.office.gym.outside,15,15,no,保持颈部直立，将左手放置头部左侧，向右轻轻推头，颈部保持不对，与双手形成对抗,a9,,,,,,,
a98,右侧颈部对抗,neck,SS,strongmuscle,1,1,no,home.office.gym.outside,15,15,no,保持颈部直立，将右手放置头部右侧，向左轻轻推头，颈部保持不对，与双手形成对抗,a10,,,,,,,
a99,站姿颈部左后侧拉伸,neck,SS,streching,1,1,a100,home.office.gym.outside,20,20,no,身体直立，保持腰背挺直，向左前方45度低头，手放在头的右侧，向左侧轻轻用力,a11,,,,,,,
a100,站姿颈部有后侧拉伸,neck,SS,streching,1,1,a99,home.office.gym.outside,20,20,no,身体直立，保持腰背挺直，向右前方45度低头，手放在头的左侧，向右侧轻轻用力,a12,,,,,,,
a101,坐姿颈部左后侧拉伸,neck,SS,streching,1,1,a101,home.office.gym.outside,20,20,no,上身直立，保持腰背挺直，向左前方45度低头，手放在头的右侧，向左侧轻轻用力,a13,,,,,,,
a102,坐姿颈部有后侧拉伸,neck,SS,streching,1,1,a102,home.office.gym.outside,20,20,no,上身直立，保持腰背挺直，向右前方45度低头，手放在头的左侧，向右侧轻轻用力,a14,,,,,,,
a103,点头运动,neck,SSS,warmup,10,1,no,home.office.gym.outside,6,60,no,挺胸收腹，前后点头，动作要缓慢，动作幅度至颈部略有紧张感,a1,,,,,,,
a104,左右摆头,neck,SSS,warmup,10,1,no,home.office.gym.outside,6,60,no,挺胸收腹，左右摆头，动作要缓慢，动作幅度至颈部略有紧张感,a2,,,,,,,
a105,回首望脚跟,neck,SSS,warmup,10,1,no,home.office.gym.outside,10,100,no,挺胸收腹，向后回首，看脚后跟，可略微带动背部转动，动作要缓慢，动作幅度至颈部略有紧张感,a3,,,,,,,
a106,颈屈肌激活,neck,SSS,warmup,10,1,no,home.office.gym.outside,4,40,no,挺胸收腹，新疆舞式地向前伸头，动作幅度至颈部略有紧张感，动作要缓慢,a4,,,,,,,
a107,耸肩沉肩,neck,SSS,strongmuscle,10,1,no,home.office.gym.outside,6,60,no,肩胛骨向上提升到最大幅度，稍有停顿后，向下沉肩，均匀呼吸,a5,,,,,,,
a108,双下巴运动,neck,SSS,strongmuscle,10,1,no,home.office.gym.outside,4,40,no,保持头部直立，平行向后缩颈部，出现双下巴，注意不要低头,a6,,,,,,,
a109,前侧颈部对抗,neck,SSS,strongmuscle,1,1,no,home.office.gym.outside,15,15,no,保持颈部直立，将双手放置额头，向后轻轻推头，颈部保持不对，与双手形成对抗,a7,,,,,,,
a110,后侧颈部部对抗,neck,SSS,strongmuscle,1,1,no,home.office.gym.outside,15,15,no,保持颈部直立，将双手放置头部后方，向前轻轻推头，颈部保持不对，与双手形成对抗,a8,,,,,,,
a111,左侧颈部对抗,neck,SSS,strongmuscle,1,1,no,home.office.gym.outside,15,15,no,保持颈部直立，将左手放置头部左侧，向右轻轻推头，颈部保持不对，与双手形成对抗,a9,,,,,,,
a112,右侧颈部对抗,neck,SSS,strongmuscle,1,1,no,home.office.gym.outside,15,15,no,保持颈部直立，将右手放置头部右侧，向左轻轻推头，颈部保持不对，与双手形成对抗,a10,,,,,,,
a113,站姿颈部左后侧拉伸,neck,SSS,streching,1,1,a114,home.office.gym.outside,20,20,no,身体直立，保持腰背挺直，向左前方45度低头，手放在头的右侧，向左侧轻轻用力,a11,,,,,,,
a114,站姿颈部有后侧拉伸,neck,SSS,streching,1,1,a113,home.office.gym.outside,20,20,no,身体直立，保持腰背挺直，向右前方45度低头，手放在头的左侧，向右侧轻轻用力,a12,,,,,,,
a115,坐姿颈部左后侧拉伸,neck,SSS,streching,1,1,a116,home.office.gym.outside,20,20,no,上身直立，保持腰背挺直，向左前方45度低头，手放在头的右侧，向左侧轻轻用力,a13,,,,,,,
a116,坐姿颈部有后侧拉伸,neck,SSS,streching,1,1,a115,home.office.gym.outside,20,20,no,上身直立，保持腰背挺直，向右前方45度低头，手放在头的左侧，向右侧轻轻用力,a14,,,,,,,
a117,卷腹,ventral,SSS,warmup,6,2,no,home.gym,6,36,yogamat,平躺屈膝，双腿分开与肩同宽，双脚踩实，双手扶于两耳旁，用腹肌的力量将肩部和上背部卷离地面，在最高点略作停顿后，缓慢回到起始位置，卷腹时，下背部保持紧贴地面，手肘保持向外打开，用力卷腹时呼气，下落时吸气,a27,,,,,,,
a118,卷腹摸膝,ventral,SSS,warmup,6,2,no,home.gym,7,42,yogamat,平躺屈膝，双手扶在大腿上，用腹肌的力量将肩部和上背部卷离地面，在双手触摸到膝盖后，缓慢回到起始位置,a28,,,,,,,
a119,坐姿卷腹,ventral,SSS,warmup,12,1,no,home.office.gym.outside,3,36,no,坐直上身，双腿放松，靠腹肌的力量带动躯干，使胸部尽量靠近膝盖，身体下弯时呼吸，直立吸气,a29,,,,,,,
a120,坐姿左右转动,ventral,SSS,warmup,12,2,no,home.office.gym.outside,7,84,no,坐直上身，双腿放松，靠腹肌的力量带动躯干，使身体向左或向右转动最大限度，向左或向右转动时呼吸，还原时吸气,a30,,,,,,,
a121,坐姿收腿,ventral,SSS,strongmuscle,20,1,no,home.gym,1,20,no,腿部，腹部持续发力，屈膝瘦腿时膝盖尽量靠近胸部，腹部带动躯干，双腿要始终悬空,a31,,,,,,,
a122,办公室坐姿收腿,ventral,SSS,strongmuscle,20,2,no,home.office.gym.outside,1,20,no,保持身体坐直，腿部，腹部持续发力，屈膝瘦腿时膝盖尽量靠近胸部，腹部带动躯干，双腿要始终悬空,a32,,,,,,,
a123,仰卧交替抬腿,ventral,SSS,strongmuscle,8,4,no,home.gym,4.5,36,yogamat,腰部贴地，臀部抬离地面，双手放于臀部两侧，勾起脚尖，腿下落到约45°即可抬起，双腿膝关节固定，不能出现踢腿动作，均匀呼吸,a35,,,,,,,
a124,V字对抗支撑,ventral,SSS,strongmuscle,5,4,no,home.office.gym.outside,4,20,yogamat,绷紧腹部，背部挺直，屈膝抬腿，勾脚尖，双手与膝盖用力对抗，该动作也可以坐在椅子上进行，双手与膝盖互相对抗即可，自然呼吸,a48,,,,,,,
a125,平板支撑,ventral,SSS,strongmuscle,6,4,no,home.office.gym.outside,10,60,yogamat,屈肘，小臂与前脚掌撑地，耳、肩、髋、膝、踝呈一条直线,a36,,,,,,,
a126,平板交替摸肩,ventral,SSS,strongmuscle,10,4,no,home.office.gym.outside,6,60,yogamat,呈俯卧撑姿势，收紧腰腹，身体不要出现左右晃动，双手交替支撑，非支撑手摸对侧肩,a50,,,,,,,
a127,左侧卷腹,ventral,SSS,strongmuscle,6,4,a128,home.gym,5,30,yogamat,侧卧在瑜伽垫上，右手扶地，左手屈肘扶耳；膝盖屈曲，双腿交叉放在瑜伽垫上，左侧腹部收紧，拉近左肘和大腿的距离，至最高点略作停顿，缓慢回到起始状态,a51,,,,,,,
a128,右侧卷腹,ventral,SSS,strongmuscle,6,4,a127,home.gym,5,30,yogamat,侧卧在瑜伽垫上，左手扶地，右手屈肘扶耳；膝盖屈曲，双腿交叉放在瑜伽垫上，右侧腹部收紧，拉近左肘和大腿的距离，至最高点略作停顿，缓慢回到起始状态,a52,,,,,,,
a129,附身登山,ventral,SSS,losefat,6,5,no,home.office.gym.outside,5,30,yogamat,俯撑在瑜伽垫上，手肘微屈，上身放平，收紧核心，用最快的速度将膝盖靠近胸部,a53,,,,,,,
a130,跨步Burpee,ventral,SSS,losefat,10,4,no,home.office.gym.outside,4,40,no,如视频动作所示，动作越连贯越好，按照自己的节奏呼吸,a38,,,,,,,
a131,腹部拉伸,ventral,SSS,streching,4,10,no,home.gym,10,40,no,俯卧在瑜伽垫上，腿部完全贴紧地面，双手将上半身撑起，用力拉伸腹部，挺胸,a39,,,,,,,
a132,站姿腹部拉伸,ventral,SSS,streching,4,10,no,home.office.gym.outside,10,40,no,双腿站直，与墙留有适当距离，向后弯腰，双手扶墙，腹部放松，尽量保持均匀的呼吸,a40,,,,,,,
a133,手臂环绕,shoulder,S,warmup,10,1,no,home.office.gym.outside,4,40,no,身体站直，双脚打开与肩同宽，保持身体稳定，双手前平举，手腕关节紧紧相靠，由上至下转动手腕，腕关节互相不要分开,a133,,,,,,,
